ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
286810777,2025-10-09 16:43:37+05:30,,2025-10-09 16:43:37+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286803356,0,4,0.05,0.0,4034.92,0.0,0.0,4034.92,0.0,XAUUSD.s,[sl 4034.92],
286811205,2025-10-09 16:44:32+05:30,,2025-10-09 16:44:32+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,1,4,123456,286810155,0,4,0.55,0.0,25118.25,0.0,0.0,25118.25,0.0,NAS100.s,[sl 25118.25],
286811274,2025-10-09 16:44:51+05:30,,2025-10-09 16:44:51+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286811274,0,3,0.48,0.0,0.0,25103.28,25149.08,25118.1,0.0,NAS100.s,MeanReversion,
286812417,2025-10-09 16:48:04+05:30,,2025-10-09 16:48:04+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,0,4,123456,286791133,0,3,0.05,0.0,0.0,0.0,0.0,4036.3,0.0,XAUUSD.s,Close Position,
286813001,2025-10-09 16:49:11+05:30,,2025-10-09 16:49:11+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,0,4,123456,286813001,0,3,0.05,0.0,0.0,4032.92,4046.23,4037.36,0.0,XAUUSD.s,Scalper,
286813233,2025-10-09 16:49:44+05:30,,2025-10-09 16:49:44+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286803038,0,4,0.59,0.0,25127.46,0.0,0.0,25127.46,0.0,NAS100.s,[sl 25127.46],
286813235,2025-10-09 16:49:44+05:30,,2025-10-09 16:49:44+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286803029,0,4,0.59,0.0,25127.49,0.0,0.0,25127.49,0.0,NAS100.s,[sl 25127.49],
286813441,2025-10-09 16:50:18+05:30,,2025-10-09 16:50:18+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,0,4,123456,286813441,0,3,0.05,0.0,0.0,4039.86,4027.46,4035.72,0.0,XAUUSD.s,Pivot,
286813446,2025-10-09 16:50:20+05:30,,2025-10-09 16:50:20+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,0,4,123456,286813446,0,3,0.05,0.0,0.0,4039.89,4027.49,4035.76,0.0,XAUUSD.s,FibPivot,
286813766,2025-10-09 16:51:24+05:30,,2025-10-09 16:51:24+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,0,4,123456,286813766,0,3,0.05,0.0,0.0,49.294,49.036,49.208,0.0,XAGUSD.s,Pivot,
286813770,2025-10-09 16:51:26+05:30,,2025-10-09 16:51:26+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,0,4,123456,286813770,0,3,0.05,0.0,0.0,49.293,49.035,49.207,0.0,XAGUSD.s,FibPivot,
286815039,2025-10-09 16:55:34+05:30,,2025-10-09 16:55:34+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,1,4,123456,286815039,0,3,0.5,0.0,0.0,25137.45,25092.97,25122.62,0.0,NAS100.s,Pivot,
286817494,2025-10-09 17:03:22+05:30,,2025-10-09 17:03:22+05:30,,1970-01-01 05:30:00+05:30,1,1970-01-01 05:30:00+05:30,1,4,123456,286811274,0,4,0.48,0.0,25115.27,0.0,0.0,25115.27,0.0,NAS100.s,[sl 25115.27],
286817595,2025-10-09 17:03:43+05:30,,2025-10-09 17:03:43+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286817595,0,3,0.46,0.0,0.0,25102.65,25151.31,25119.37,0.0,NAS100.s,Scalper,
286817605,2025-10-09 17:03:45+05:30,,2025-10-09 17:03:45+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286817605,0,3,0.46,0.0,0.0,25102.8,25151.46,25118.67,0.0,NAS100.s,MeanReversion,
286819569,2025-10-09 17:07:57+05:30,,2025-10-09 17:07:58+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286813441,0,4,0.05,0.0,4038.71,0.0,0.0,4038.71,0.0,XAUUSD.s,[sl 4038.71],
286819570,2025-10-09 17:07:57+05:30,,2025-10-09 17:07:58+05:30,,1970-01-01 05:30:00+05:30,0,1970-01-01 05:30:00+05:30,1,4,123456,286813446,0,4,0.05,0.0,4038.64,0.0,0.0,4038.64,0.0,XAUUSD.s,[sl 4038.64],
